City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nikolskoye,59.7,30.79,42.01,86,90,11.18,RU,1604348317
Mar del Plata,-38,-57.56,66.2,55,90,12.75,AR,1604348317
Severo-Kuril'sk,50.68,156.12,43.3,82,100,23.13,RU,1604348317
Sinnamary,5.38,-52.95,78.62,86,100,14.56,GF,1604348317
Busselton,-33.65,115.33,55.99,84,78,11.23,AU,1604348318
Provideniya,64.38,-173.3,30.2,74,75,11.18,RU,1604348318
Ushuaia,-54.8,-68.3,59,58,20,3.36,AR,1604348318
Gravdal,68.12,13.5,44.6,93,75,4.7,NO,1604348319
Carnarvon,-24.87,113.63,66.2,72,40,13.87,AU,1604348319
Hilo,19.73,-155.09,80.6,65,90,1.9,US,1604348319
Sakaiminato,35.55,133.23,51.8,100,40,8.05,JP,1604348320
Norman Wells,65.28,-126.83,8.6,71,75,8.05,CA,1604348320
Mataura,-46.19,168.86,49.23,69,94,1.34,NZ,1604348320
Naze,28.37,129.48,75.2,73,75,20.8,JP,1604348321
Mehamn,71.04,27.85,41,80,75,21.92,NO,1604348321
Beringovskiy,63.05,179.32,24.76,93,45,4.32,RU,1604348322
Punta Arenas,-53.15,-70.92,55.4,58,75,8.05,CL,1604348033
Ruwi,23.6,58.55,71.6,68,0,2.24,OM,1604348322
Rikitea,-23.12,-134.97,72.21,81,7,19.01,PF,1604348322
Mergen,49.18,125.22,15.89,86,88,10.36,CN,1604348322
Ilulissat,69.22,-51.1,21.2,67,40,13.87,GL,1604348323
Cape Town,-33.93,18.42,69.01,82,0,10.29,ZA,1604348254
São José da Coroa Grande,-8.9,-35.15,79.21,77,55,13.47,BR,1604348323
Port Elizabeth,-33.92,25.57,64.4,88,0,16.11,ZA,1604348323
Bethel,41.37,-73.41,39.99,38,1,17.22,US,1604348324
Murchison,-41.8,172.33,48.97,86,100,2.95,NZ,1604348324
Hambantota,6.12,81.12,79.11,82,74,8.37,LK,1604348325
Saint George,37.1,-113.58,68,20,1,4.7,US,1604348181
Sittwe,20.15,92.9,79.32,84,96,3.2,MM,1604348325
Kaitangata,-46.28,169.85,49.28,71,50,2.13,NZ,1604348325
Bluff,-46.6,168.33,45.95,78,37,2.89,NZ,1604348326
Brae,60.4,-1.35,48.2,76,40,18.34,GB,1604348326
Hobart,-42.88,147.33,62.01,63,75,10.29,AU,1604348176
Lagos,6.58,3.75,78.06,82,100,3.11,NG,1604348278
Penzance,50.12,-5.54,50,71,20,10.29,GB,1604348327
Arraial do Cabo,-22.97,-42.03,73.4,69,20,9.17,BR,1604348327
George Town,5.41,100.34,78.8,88,20,1.12,MY,1604348057
Moose Factory,51.26,-80.61,26.6,92,90,11.41,CA,1604348328
Albany,42.6,-73.97,37.99,60,0,5.01,US,1604348328
Nouadhibou,20.93,-17.03,73.4,56,7,12.75,MR,1604348329
Mago,53.25,140.18,26.92,93,95,4.41,RU,1604348329
Isangel,-19.55,169.27,76.46,86,100,17.56,VU,1604348330
Talnakh,69.49,88.4,15.8,92,40,2.24,RU,1604348330
Novaya Mayna,54.15,49.75,35.6,100,90,8.95,RU,1604348331
Goderich,43.75,-81.72,41,52,100,24.16,CA,1604348332
Kasongo-Lunda,-6.47,16.82,71.73,91,100,1.61,CD,1604348332
Xalapa,19.53,-96.92,65.95,56,12,5.28,MX,1604348332
Port Alfred,-33.59,26.89,67.12,79,47,21.34,ZA,1604348333
Paamiut,61.99,-49.67,30.65,82,97,16.55,GL,1604348333
Fortuna,40.6,-124.16,69.8,43,20,6.93,US,1604348333
Sisimiut,66.94,-53.67,21.69,88,100,16.98,GL,1604348334
Tabou,4.42,-7.35,78.64,86,42,4.38,CI,1604348334
Hermanus,-34.42,19.23,64.99,85,1,11.01,ZA,1604348334
Hithadhoo,-0.6,73.08,83.23,74,75,11.39,MV,1604348334
Presidencia Roque Sáenz Peña,-26.79,-60.44,83.44,25,67,5.97,AR,1604348335
Buchanan,5.88,-10.05,78.33,87,100,5.68,LR,1604348335
Sault Ste. Marie,46.52,-84.33,42.8,56,90,16.11,CA,1604348336
The Pas,53.83,-101.25,39.2,80,40,8.05,CA,1604348336
Avarua,-21.21,-159.78,71.6,83,100,5.82,CK,1604348336
Okakarara,-20.58,17.43,81.66,15,42,11.18,NA,1604348337
Dikson,73.51,80.55,15.91,97,100,10.25,RU,1604348338
Atuona,-9.8,-139.03,77.5,76,26,20.22,PF,1604348338
New Norfolk,-42.78,147.06,62.01,49,98,3.22,AU,1604348338
Lebu,-37.62,-73.65,54.9,82,57,14.41,CL,1604348339
Bayanday,53.07,105.51,20.21,83,100,2.98,RU,1604348339
Thompson,55.74,-97.86,21.2,85,90,4.7,CA,1604348101
Kahului,20.89,-156.47,82.4,65,40,16.11,US,1604348072
Yellowknife,62.46,-114.35,7,84,90,12.75,CA,1604348324
Vila Franca do Campo,37.72,-25.43,60.8,72,40,8.05,PT,1604348340
Olafsvik,64.89,-23.71,39.25,78,100,20.74,IS,1604348341
Srednekolymsk,67.45,153.68,-10.28,86,0,9.31,RU,1604348342
Dingle,11,122.67,75.43,88,100,5.12,PH,1604348342
Road Town,18.42,-64.62,86,74,40,11.41,VG,1604348075
Kapaa,22.08,-159.32,75.2,94,40,5.82,US,1604348343
Souillac,-20.52,57.52,71.6,73,40,11.41,MU,1604348343
Kavieng,-2.57,150.8,82.87,73,14,4.07,PG,1604348344
Lorengau,-2.02,147.27,81.19,76,3,3.44,PG,1604348344
Saint-François,46.42,3.91,64.4,68,90,3.36,FR,1604348344
Voloshka,61.33,40.09,34.84,93,93,10.89,RU,1604348344
Tiznit Province,29.58,-9.5,69.67,38,0,1.16,MA,1604348345
Mudon,16.26,97.72,76.19,90,2,5.1,MM,1604348345
Kutum,14.2,24.67,75.51,28,1,17.27,SD,1604348346
Port Lincoln,-34.73,135.87,73.38,28,77,19.48,AU,1604348346
Constitución,-35.33,-72.42,60.89,70,57,11.27,CL,1604348346
Lagoa,39.05,-27.98,62.1,64,100,13.85,PT,1604348347
Narsaq,60.92,-46.05,23,49,75,6.93,GL,1604348347
Atar,20.52,-13.05,85.6,15,100,10.02,MR,1604348347
Lompoc,34.64,-120.46,75.2,68,1,13.87,US,1604348249
Zhigansk,66.77,123.37,-1.16,91,100,21.7,RU,1604348348
Saint-Augustin,51.23,-58.65,51.57,92,100,25.79,CA,1604348318
Zhangaözen,43.3,52.8,57.61,35,100,8.37,KZ,1604348349
Bridlington,54.08,-0.19,50,76,35,21.92,GB,1604348349
Bogorodskoye,56.55,37.88,42.03,92,91,7.81,RU,1604348350
Batagay-Alyta,67.8,130.41,-9.31,82,94,2.59,RU,1604348351
Vaini,-21.2,-175.2,75.2,88,75,9.17,TO,1604348351
Baykit,61.67,96.37,22.64,94,96,7.4,RU,1604348351
Jalu,29.03,21.55,66.87,55,0,7.7,LY,1604348352
Yashan,22.2,109.94,64.2,64,81,8.79,CN,1604348352
Torbay,47.67,-52.73,54,100,90,36.91,CA,1604348240
Jelgava,56.65,23.71,48.2,93,90,17.22,LV,1604348286
Port Blair,11.67,92.75,80.13,82,100,4.76,IN,1604348353
Hasaki,35.73,140.83,57.2,100,75,2.24,JP,1604348354
Saldanha,-33.01,17.94,75.2,33,83,5.82,ZA,1604348355
Tiksi,71.69,128.87,0.01,90,99,4.85,RU,1604348355
Kailua,21.4,-157.74,81,69,20,10.29,US,1604348094
Sechura,-5.56,-80.82,73.62,54,12,14.92,PE,1604348356
Prainha,-1.8,-53.48,95.43,37,18,2.46,BR,1604348357
Bengkulu,-3.8,102.27,75.29,88,100,4.72,ID,1604348357
Jumla,29.27,82.18,44.19,60,0,6.8,NP,1604348357
Bentiu,9.23,29.83,77.54,71,0,4.36,SS,1604348357
Jamestown,42.1,-79.24,36,69,90,17.22,US,1604348192
Oktyabr'skiy,54.48,53.47,32.22,96,72,4.18,RU,1604348358
